unit_scope_question_id,development_id,review_queue_type,pass1_total_action,pass1_total_value,pass1_total_reason_code,pass1_low_income_action,pass1_low_income_value,pass1_low_income_reason_code,pass1_notes,pass1_reviewed_on,pass2_search_engine,pass2_search_url,pass2_source_title,pass2_source_type,pass2_source_url,pass2_source_coverage,pass2_published_total_units,pass2_published_total_count_type,pass2_published_low_income_units,pass2_published_low_income_count_type,pass2_notes,pass2_reviewed_on,final_total_action,final_total_value,final_total_reason_code,final_low_income_action,final_low_income_value,final_low_income_reason_code,final_notes,final_reviewed_on,source_rows_changed
UNITQ_DEV_AKA19940005,DEV_AKA19940005,multi_episode_unit_scope,candidate_use_once,52,equal_counts_with_repeat_lineage,defer_outside_read,,internal_evidence_insufficient,Read every post-Stage-2 episode and the mixed-site identity lineage before consulting the retained outside source.,2026-08-11,public_registry,https://section8search.org/alaska/anchorage/loussac-sogn-sro/sabl03cn77shfssek8uqgvdt | https://section8search.org/alaska/anchorage/loussacsogn/d7gutu2up13wrxdkwml6pupo,Section8Search direct pages for listed members,public_property_directory,https://section8search.org/alaska/anchorage/loussac-sogn-sro/sabl03cn77shfssek8uqgvdt | https://section8search.org/alaska/anchorage/loussacsogn/d7gutu2up13wrxdkwml6pupo,identity_only,,not_reported,,not_reported,corroborates_internal_identity_read. The source was re-read for the unit-scope proposal.,2026-08-11,use_once_reporting_value,52,duplicate_reporting_use_once,unavailable_after_review,,unavailable_after_search,"The mixed-site identity review supports duplicate total-unit reporting, but the low-income counts conflict. The total uses one anchor episode; the low-income value remains unavailable because the outside identity source does not resolve the conflict. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.",2026-08-11,FALSE
UNITQ_DEV_AKA19960020,DEV_AKA19960020,multi_episode_unit_scope,candidate_use_once,24,equal_counts_with_repeat_lineage,candidate_use_once,23,equal_counts_with_repeat_lineage,Read every post-Stage-2 episode and the mixed-site identity lineage before consulting the retained outside source.,2026-08-11,public_registry,https://section8search.org/alaska/anchorage/hillpoint-park/vj1fxhrlxbmikjqbntt675jr | https://section8search.org/alaska/ancorage/hillpoint-park-appartments/k33wx5xyp5ybeqwre2tphio0,Section8Search direct pages for listed members,public_property_directory,https://section8search.org/alaska/anchorage/hillpoint-park/vj1fxhrlxbmikjqbntt675jr | https://section8search.org/alaska/ancorage/hillpoint-park-appartments/k33wx5xyp5ybeqwre2tphio0,identity_only,,not_reported,,not_reported,corroborates_internal_identity_read. The source was re-read for the unit-scope proposal.,2026-08-11,use_once_reporting_value,24,duplicate_reporting_use_once,use_once_reporting_value,23,duplicate_reporting_use_once,The mixed-site identity review found repeated source records for the same physical development. Total and low-income counts repeat exactly; one anchor episode represents each value and the remaining rows are excluded as duplicate reporting.,2026-08-11,FALSE
UNITQ_DEV_AKA19970035,DEV_AKA19970035,multi_episode_unit_scope,candidate_use_once,20,equal_counts_with_repeat_lineage,candidate_use_once,20,equal_counts_with_repeat_lineage,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/valdez-cordova-county/valdez/sound-view-associates-30438-lihtc,"Sound View Associates | Affordable Housing in Valdez, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/valdez-cordova-county/valdez/sound-view-associates-30438-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address_round2 source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,20,duplicate_reporting_use_once,use_once_reporting_value,20,duplicate_reporting_use_once,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable.,2026-08-11,FALSE
UNITQ_DEV_AKA19970040,DEV_AKA19970040,multi_episode_unit_scope,defer_outside_read,,internal_evidence_insufficient,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://section8search.org/alaska/anchorage/southside-seniors-inc/m3hpy9f31w2p6iabdepr14lu | https://section8search.org/alaska/anchorage/southside-seniors/jicpf2s4k1u97zv3s0v2sflk,Section8Search: SOUTHSIDE SENIORS | Section8Search: SOUTHSIDE SENIORS INC,public_property_directory,https://section8search.org/alaska/anchorage/southside-seniors-inc/m3hpy9f31w2p6iabdepr14lu | https://section8search.org/alaska/anchorage/southside-seniors/jicpf2s4k1u97zv3s0v2sflk,identity_only,,not_reported,,not_reported,Re-read the frozen single_address source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,unavailable_after_review,,unavailable_after_search,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20009001,DEV_AKA20009001,multi_episode_unit_scope,candidate_use_once,16,equal_counts_with_repeat_lineage,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://www.novoco.com/public-media/documents/alaska-lihtc-properties-through-2023-072025.pdf,Alaska LIHTC Properties Through 2023,housing_sector_source,https://www.novoco.com/public-media/documents/alaska-lihtc-properties-through-2023-072025.pdf,identity_only,,not_reported,,not_reported,Re-read the frozen identical_address_set source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,16,duplicate_reporting_use_once,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20010005,DEV_AKA20010005,multi_episode_unit_scope,defer_outside_read,,internal_evidence_insufficient,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://section8search.org/alaska/seward/bayview-apts-assoc-lp/o3usmg60joaahup5p8fsnc2y,Section8Search: BAYVIEW APTS. ASSOC. LP,public_property_directory,https://section8search.org/alaska/seward/bayview-apts-assoc-lp/o3usmg60joaahup5p8fsnc2y,identity_only,,not_reported,,not_reported,Re-read the frozen single_address source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,unavailable_after_review,,unavailable_after_search,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20010015,DEV_AKA20010015,multi_episode_unit_scope,candidate_use_once,180,equal_counts_with_repeat_lineage,candidate_use_once,180,equal_counts_with_repeat_lineage,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/anchorage-county/anchorage/chester-park-estates-25278-lihtc,"Chester Park Estates | Affordable Housing in Anchorage, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/anchorage-county/anchorage/chester-park-estates-25278-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address_round2 source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,180,duplicate_reporting_use_once,use_once_reporting_value,180,duplicate_reporting_use_once,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable.,2026-08-11,FALSE
UNITQ_DEV_AKA20020010,DEV_AKA20020010,multi_episode_unit_scope,candidate_use_once,32,equal_counts_with_repeat_lineage,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/matanuska-susitna-county/palmer/hunter-creek-apts-of-palmer-lp-30535-lihtc,"Hunter Creek Apts. of Palmer, Lp | Affordable Housing in Palmer, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/matanuska-susitna-county/palmer/hunter-creek-apts-of-palmer-lp-30535-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address_round2 source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,32,duplicate_reporting_use_once,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20030035,DEV_AKA20030035,multi_episode_unit_scope,candidate_use_once,26,equal_counts_with_repeat_lineage,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/kenai-peninsula-county/soldotna/parkview-soldotna-associates-lp-30467-lihtc,"Parkview-Soldotna Associates Lp | Affordable Housing in Soldotna, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/kenai-peninsula-county/soldotna/parkview-soldotna-associates-lp-30467-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address_round2 source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,26,duplicate_reporting_use_once,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20039048,DEV_AKA20039048,multi_episode_unit_scope,candidate_use_once,16,equal_counts_with_repeat_lineage,candidate_use_once,16,equal_counts_with_repeat_lineage,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/dillingham-county/dillingham/muklung-apts-25260-lihtc,"Muklung Apts | Affordable Housing in Dillingham, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/dillingham-county/dillingham/muklung-apts-25260-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address_round2 source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,16,duplicate_reporting_use_once,use_once_reporting_value,16,duplicate_reporting_use_once,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable.,2026-08-11,FALSE
